year,harvest,spawn,spawn_cv,harvest_cv
1959,5382055 ,1078000 ,0.2,0.05
1961,796685 ,1092561 ,0.2,0.05
1963,3528312 ,1954038 ,0.2,0.05
1965,1125788 ,1194099 ,0.2,0.05
1967,11131572 ,1831219 ,0.2,0.05
1969,2400548 ,1530913 ,0.2,0.05
1971,7958376 ,1804952 ,0.2,0.05
1973,5049723 ,1754261 ,0.2,0.05
1975,3526866 ,1367089 ,0.2,0.05
1977,5821674 ,2387811 ,0.2,0.05
1979,10843466 ,3560654 ,0.2,0.05
1981,14196353 ,4488336 ,0.2,0.05
1983,10714376 ,4631721 ,0.2,0.05
1985,12577074 ,6460950 ,0.2,0.05
1987,3948252 ,3223521 ,0.2,0.05
1989,9295074 ,7189201 ,0.2,0.05
1991,9230804 ,12942835 ,0.2,0.05
1993,6215163 ,10768335 ,0.2,0.05
1995,5729124 ,7174584 ,0.2,0.05
1997,5333856 ,2842108 ,0.2,0.05
1999,163283 ,3444982 ,0.2,0.05
2001,1448154 ,19813620 ,0.2,0.05
2003,2068970 ,22181030 ,0.5,0.05
2005,1060376 ,8809624 ,0.5,0.05
2007,839948 ,7650052 ,0.5,0.05
2009,4507317 ,15428836 ,0.35,0.05
2011,7860612 ,12784508 ,0.35,0.05
2013,6553329 ,9344490 ,0.35,0.05
2015,496240 ,5315845 ,0.35,0.05
2017,170932 ,3392159 ,0.35,0.05
2019,550784 ,8307419 ,0.35,0.05
2021,277129 ,7827445 ,0.35,0.05
